modalityA,modalityB,UstatOrMLE,Moments,N,D,ND,R,NR,DR,RND
modalityA,NO_MOD,Ustat,comp_A,7.51678E-3,0.00000E0,0.00000E0,5.24609E-3,2.19128E-2,6.17450E-3,0.00000E0
modalityA,NO_MOD,Ustat,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,NO_MOD,Ustat,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,comp_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,total,5.01119E-5,0.00000E0,0.00000E0,1.74870E-3,4.86950E-5,1.37211E-5,0.00000E0
modalityA,NO_MOD,MLE,comp_A,1.47222E-2,2.04444E-3,0.00000E0,3.62222E-3,1.45111E-2,4.08889E-3,0.00000E0
modalityA,NO_MOD,MLE,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,NO_MOD,MLE,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,comp_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,coeff_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,total,9.81481E-5,1.36296E-5,0.00000E0,1.20741E-3,3.22469E-5,9.08642E-6,0.00000E0
modalityB,NO_MOD,Ustat,comp_A,2.06711E-2,0.00000E0,0.00000E0,1.11857E-4,3.22148E-3,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityB,NO_MOD,Ustat,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,comp_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,coeff_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,total,1.37808E-4,0.00000E0,0.00000E0,3.72856E-5,7.15884E-6,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,comp_A,2.16000E-2,0.00000E0,0.00000E0,8.88889E-5,2.13333E-3,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityB,NO_MOD,MLE,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,comp_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,coeff_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,total,1.44000E-4,0.00000E0,0.00000E0,2.96296E-5,4.74074E-6,0.00000E0,0.00000E0
modalityA,modalityB,Ustat,comp_A,7.51678E-3,0.00000E0,0.00000E0,5.24609E-3,2.19128E-2,6.17450E-3,0.00000E0
modalityA,modalityB,Ustat,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,modalityB,Ustat,comp_B,2.06711E-2,0.00000E0,0.00000E0,1.11857E-4,3.22148E-3,0.00000E0,0.00000E0
modalityA,modalityB,Ustat,coeff_B,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,modalityB,Ustat,comp_product,4.79866E-3,0.00000E0,0.00000E0,8.39821E-4,-9.73154E-4,0.00000E0,0.00000E0
modalityA,modalityB,Ustat,coeff_product,1.33333E-2,1.33333E-2,8.88889E-5,6.66667E-1,4.44444E-3,4.44444E-3,2.96296E-5
modalityA,modalityB,Ustat,total,1.23937E-4,0.00000E0,0.00000E0,1.22610E-3,6.01790E-5,1.37211E-5,0.00000E0
modalityA,modalityB,MLE,comp_A,1.47222E-2,2.04444E-3,0.00000E0,3.62222E-3,1.45111E-2,4.08889E-3,0.00000E0
modalityA,modalityB,MLE,coeff_A,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,modalityB,MLE,comp_B,2.16000E-2,0.00000E0,0.00000E0,8.88889E-5,2.13333E-3,0.00000E0,0.00000E0
modalityA,modalityB,MLE,coeff_B,6.66667E-3,6.66667E-3,4.44444E-5,3.33333E-1,2.22222E-3,2.22222E-3,1.48148E-5
modalityA,modalityB,MLE,comp_product,4.44444E-3,0.00000E0,0.00000E0,5.55556E-4,-6.44444E-4,0.00000E0,0.00000E0
modalityA,modalityB,MLE,coeff_product,1.33333E-2,1.33333E-2,8.88889E-5,6.66667E-1,4.44444E-3,4.44444E-3,2.96296E-5
modalityA,modalityB,MLE,total,1.82889E-4,1.36296E-5,0.00000E0,8.66667E-4,3.98519E-5,9.08642E-6,0.00000E0
